spraaklocatie	het	is	stil	op	de	straat	maar	dan	ineens	klinkt	bij	een	van	de		huizen	het	gerinkel	van	glas	een	vrouw	stapt	ontdaan	naar	buiten	he	dat	is	nou	ook	toevallig	daar	loopt	juist	de	glaszetter	de	mevrouw	vraagt	of	hij	de	ruit	wil	repareren	maar	in	een	korte	tijd	sneuvelen	er	in	de	straat	heel	veel		ruiten	de	politieagent	let	nu	extra	goed	op	als	hij	door	de	straten	loopt	maar	dan	ziet	hij	op	de	hoek	van	de	straat	een	klein	jongetje	staan	het	jongetje	wil	net	met	een	steen	gooien	even	later	ziet	de	politieagent	het	jongetje	samen	met	de	glaszetter	lopen	de	agent	besluit	om	ze	beiden	aan	te	houden	maar	het	lukt	hem	niet	om	ze	te	pakken	te	krijgen
s-Gravenvoeren	əd	ɪʃ	ʃtɪl	ɔp	çən	ʃtʀoːt	mæ	dɑ	opɪns		bi	eːn	fɑn	də	huːz	huːsə	t	ʀɑmɛnt	fɑ	çlɑːs	ən	fʀʊu	kʏmt	çɑːnsfəʀlʊːʀə	nə	butə	hɛː	dɑt	wʏl			zɪːn	də	lœp	ʃyst	də	çlɑːzənɪːʀkəʀ	də	fʀʊu	fʀyːd	ɒf	hiːʀ	də	ʀuːt	wʏlt	mɑːkə	mæʀ	ɔp		kɒʀtə	tiːt			ɛn	də	ʃtʀɔːt		fœːl	ʀut	ʀuːtə	də	ʒɑndɑʀm	kik	ny	ækstʀɑ	huːt		ɛs	hiːʀ	dʊːʀ			lœpt	mæ	dɑː	zɪːt	i	ɔp	çən	hoːk	fɑ	çə	ʃtʀʊːt	ən	kleːn	jʏŋskə		ət	jʌŋskə	wɪl	ʃyz		ənə	ʃteː	bʀuiə	çæt	lɑːtəʀ	siːt	də	ʃɑndɑʀm	ət	jʏŋskə	təhoːp	mət	də	çlɑːsəniːʀkəʀ	loːpə	dəʀ	ʃɑndɑʀm	wʏlt		ən	ɑlətwiə	ɑː		hoːə	maː	ət	lʏkt	əm	nɪt		sə	tə			
Sexbierum	ət	ɪs	stɪl	ɔp		strɪtə	mɑ	dan	ɪniː̃s	klɪŋkt	bai	ɪː̃	fan	də	huːs	hyzn		ɡərɪŋkəl	fan	ɡl  ̴ɛːs	ə	frau	stapt	skrɔkə	na	butə		d	ɪs		ɛk	təfaləx	dɛː	rɪnt	krɛk	də	ɡlɛːsɛtər	də	frau	freixət	dat	hɛi	ət	ryt	ʋɒl	mɑitʃə	mɑr	ɪn		kuɑtə	tiːt	snøfələ	dər	in	də	strɪtə	hiːl		ryt	rytən		pəliziman	lɛt	nau		ɡuːt	ɔp	ʌs	hɛi	trɒ	də	strɪtn	rɪnt	ma	dan	ʃʏt	ər	ɔp	də	huk	fan	də	strɪtə	ə	lits	jɔŋkjə				ʋɔl			ə	stɪː̃	ɡʊiə	ɛfkəs	lɛtər	ʃʏd	d	aɡɛnt	ət	jɔŋkjə	təɡɛːrə	mɑ	də	ɡlɛːsɛtər	rɪnn	də	aɡɛnt	bəslyt	ɔm		bɑidə	ʊː̃	tə	hɑːdn	mɑr	ət	lʏkt	əm	nɛt	ɔ̃m	sə	tə	pakən	tə	kræiən
Sint Annaparochie	hɛt	ɪs	stɪl	ɔp		dik	ma	dan	ɪneː̃nn		bɛi	ẽĩ	fan	də	hys	hyzn	ət	ɡərɪŋkəl	fan	ɡl  ̴ɑs	ə	frau	stɑpt	skrɒkən	na	bytn	hei	dat	ɪs	nau	ouk	tufaləx	da	loup	krɛk		ɡlɑːsɛtər	də	frau	fraːxt	ɑt	i	ət	ryt	ʋɪl	maːkə	mɑr	ɪn		kɒrthʏtsi	tiːt	ɡaːnstɪkən	də	ɪn	də				ryt	rytn	də	plisi	siːt		ɛkstrə	ɡuːt	ɒməmhine	ɑt	i	dʏːr	də		loupt	mɑ	dɑn	siːt	i	ɔp	ə	huk				ən	klɑin	jɔŋki				ʋɪl	krɛk		ə	stein	ɡʊiə	nitføl	laːtər	siːt	də	plisi	ət	jɔŋki	təɡaːr	mɛt	də	ɡlɑːsɛtər		də	pəlisi	bəslyt	ɔm		bɒidə	ɑn	tə	hɑːuən	mɑr				nit		sə	tə	pɑkŋ		
Sint Jacobiparochie	t	ɪs	stɪːl	ɔp		dik	mɑ		ɪnẽĩs	klɪŋk	bɛi	ein	fan	də	hys	hyzn	ət	ɡərɪŋkəl	fan	ɡlaːs	ə	frɑu	stɑpt	fəsluxən	na	bytn	hei	dɑ	s	nɑu	ouk	tufaləx	dæː	loup	krɛk	də	ɡlɑːsɛtər	də	frɑu	fraːxt	ɑt	hɛi	ət	ryt	ʋɪl	maːkə	mɑr	ɪn		kɒrtə	tiːt	snøfələ	ər			dik	hɪːl		ryt	rytn	də	pəliʃɑɡɛnt	lɛt	nɑu	ɛkstrə	ɡuːt	ɔp	ɑθ	hɛi	dʏːr	də	straːtn	loupt	mɑ	dɑn	siːt	hɛi	ɔp	ə	huk	fən		dik	ə	klɒin	jɔŋki		ət	jɔŋki	ʋɪl	krɛk		ə	stein	ɡʊiə	eːfə	l  ̴aːtər	siːt	də	pəliʃɑɡɛnt	ət	jɔŋki	saːmm	mɛt	də	ɡlɑːsɛtər	loupən	də	æɡɛnt	bəslyt		sə	bɒidn	ɑn	tə	hɑuən	mɑr	ət	lʏkt	hɛm	nit		sə	tə	pɑkŋ		
Sint-Oedenrode	t	ɪs	stɪl	ɔp		stʀɒət	mɑʀ		ənɪns									lowɑi		çlɑs	ə	fʀɑu	lʏp		nɑ	bœytə	hei	dɑ	s			stɛʀk	dʌː	lœpt		də	çlʌsætəʀ	də	fʀɒu	fʀɒːçt	ɒf	hɛi		ʀʌːm	wʏl	mɑːkə	mʌʀ					çʌːnkəpɔt	əʀ	ɛn	də	stʀʌət		fɪːl		ʀɑːmə	də	ɑçɛnt						ɑls	hɛi				lʏpt	mɑ	dɑn	zit	hɛi	ɔp	də	huk				ən	klɛin	jʏŋskə		ət	jʏŋskə		kʀɛk		ənə	stein	çʊiə	meː	dənʌː	zit	d	ɑçænt	ət	jʏŋskə		mɪt	dən	çlɑsætəʀ		də	ɑçænt	wɪl		zə	ɑləbæi			vɑtən		ət			nit						
Slochteren	hɛd	ɪs	stɪl	ɔp		strʊːt	mər	dɛn	inãĩs	klɪŋk	bi	ɑ̃ĩ	fan	də	hys	huːzn	ət	xərɪŋkəl	fan	xlas	ə	fraː	stapt	ɔndʊːn	nə	butn	hei	da	s	nɑu		tufɑləx	dʊː	loup	jyst	də	xlʊːzənmɒkər	də	frɑː	frʊːxt	ɒf	hɑi	də	rut	ʋʏl	reparɪːrn	mər	ɪn		kœrtə	tit	snøfəln	ɛr	ɪn	də	strʊːt	høːl	føːl	rut	rutn	də	ɑxɛnt	lɛ	nɑu	ɛkstra	xɑut	ɔp	ɑs	hɛi	dʏːr	də	strʊːtn	loupt	mʌ	dɛn	sʏxt	hɛi	ɔp	də	hɑuk	fan	də	strʊːt	n	klɑin	jɔŋkjə		hət	jɔŋkjə	ʋʏl	nɛt		ən	stɑin	xʊin	ebm	lʊːtər	sʏxt	də	ɑxɛnt	hət	jɔŋkjə	sɔːmm	mɛt	də	xlʊːzənmɒkər	loupm	d	axɛnt	bəslut	ɔm		bɒi	æː̃n	tə	hɒln	mʌr	ət	lʏkt	hɒm	nɑit	ɔm	sə	tə	pɑkŋ	tə	kriɡŋ
Sneek	ət	ɪs	stɪl	ɔp		straːt	mɑ	dan	ɪniː̃nn	klɪŋkt	bai	ẽĩ	fan	də	hys	hyzn	ət	ɡərɪŋkəl	fan	ɡlaz		ʋif	kɔmt	fəsxrɪkt	na	bytn	hei	dɑt	ɪz		ouk	tufɑləx	da	loup	jyst	də	ɡlɑsɛtər		ʋif	fraːxt	ɒf	hɛi	ət	ryt		maːkə	mɑ	ɪn		kɒrtə	tiːt	ɡaːnstʏkŋ							ryt	raːmə	də	pəlɪsi	siːt			ɡuːt	ɒməmhein	ɑs	di	dʏːr	də	straːtn	loupt	mɑ	dan	sit	hɛi	ɔp	də	hukə	fan	də	straːt					ət	jɔŋkjə	ʋy	krɛkt		n	stiːn	ɡʊiə	əntiːt	l  ̴aːtər	sit	də	pəlɪsi	ət	jɔŋkjə	təɡaːrə	mɛt	də	ɡlaːsəsɛtər	lʌupm	də	pəlɪsi	bəslyt		sə	bɛidə	aːn	tə	hɑudn	mʌr	t	lœkt	əm	nit	ɔm	zə	tə	pakŋ		
Tegelen	ət	ɪs	stɪl	ɔp		stʀoːt	ma	dan	ɪnɛns	klɪŋk	bi	ein	fan	də	hus	hyzəʀ	hɛt	çəʀɪŋkəl	fa	çlaːs	ə	fʀɑu	ʃtɑpt	ɔndɔːn	nə	buːtə	hei	dɑt	ɛz	nʊ	ouk	tufɑləç	dʊːʀ	lœp	nɛt	də	çlaːsætəʀ	də	fʀɑu	fʀʏːç	ɒf	hɪːʀ	də	ʀuːt	wɛl	ʀepəʀɪːʀə	maːʀ	ɪn		kɒʀtə	tiːt	ʃnøfələ	dəʀ	ɛn	də	stʀɔːt	hɪːl	fiːl	ʀut	ʀuːtə	də	pəlitsiæçæ̃nt	læt	nɒu	ækstʀə	çʊːt	ɔp	ɑz	hɪːʀ	dʊːʀ			lœpt	mɑʀ	dæn	syt	ɪ	ɔp	də	hʊːk	fan	də	stʀɒːt	ɛ	klɛin	jʏŋskə		ɛt	jʏŋskə	wɪl	næt		ənə	ʃtæin	çuia	æfə	laːtəʀ	zyt	dəʀ	pəlitsiæçæ̃t	ət	jʏŋskə	saːmə	mæt	də	çlaːsætəʀ	lʌupə	dəʀ	pəlitsi	bəʃlyt	œm	zə	ɑləbæi	aː̃	tə	haːiə	mɑʀ	ət	lœk	hɪm	nɪːt		sə	tə	pɑkə	tə	kʀiçə
Tienen	ət	ɛs	stil	ɔp		stʀɔːt	mɑ	dɑn	ɪniː̃ns		bɛi	ein	fɑn	d	ɑːs	ɑːsə		çəklɛtəʀ	fɑn	çlɑs	ə	fʀɑː	kɔmt			bœːtə								lup	ʒyst		çlɑːzəmɑːkəʀ		mɑdɑm	fʀɑːçt	ɒf	eia	də	ʀaːt	wɪl	ʀɛpaʀɛiʀə	mɑ	u		kɑtən	tæːt	snɑifələ		in	də	stʀɔːt	iːl	fɑil		ʀaːtə	də	pɒlis		nːɒ̃				ɑz	m	dœʀ			lʏpt	mɑ	dɑn	seit	m	ɔp	dən	uk	fɑn	də	stʀʊːt	ə	klæːn	mænəkə			mænəkə	wɪl	ʒys		ən	stiː̃	smæːtə	əbæcə	lʊːtəʀ	søt	də	pɒlis		mænəkə		bɛ	də	çlɑːzəmɑːkəʀ	lɤːpə	də	pʊlis	dæsidɑit	fœʀ	s	ɒlətwi	ɯp	tə	pakə	mʌʀ				ni		zə		pɑkə		
Tilligte	t	ɪs	rʏstəx	ɔp		strʌːt	mɛ	dan	ɪneː̃s		bi	ɪː̃	fan	də	hus	hys		xərɪŋkəl	fa	xlas	ə		stapt		nə	butn	hɪː	da	s			tufaləx	də	lœp	jyst		xlasɛtər			frœx	ɒf	ə	də	rut		maːkŋ	mɛ	ɛn	ən	kɒrtə	tit	xeːtkəpʌət	ər	ɪn	də	strʌːt			rut	rutn		plitsi	lɛt		ɛkstrʌ	xʊd	ɔp	as	he	dʏːr	də	strʌːtn	lœp	mə	dan	sɪt	he	ɔp	də	hoːk	fan	də	strʌːt	ən	klɛin	jʏŋskə		hət	jʏŋskə	ʋɪl	nɛt	mɛt	n	stɪːn	xʊin	nɪxfəl	laːtər	sʏt	də	axɛnt	ət	jʏŋskə	saːmm	mɛt	də	xlasɛtər	loːpm	d	axɛnt	ʋɪl		zə	ɑləbæi	ɑn		ɒːn	mær	ət	lʏkt	əm	nɪ̃x	ɔm	sə	tə	pakŋ	tə	kriɡŋ
Uithuizen	t	ɪs	stɪl	ɔp		strʊːt	mʌ	dɛn	ənɒ̃ĩs	klɪŋkt	bi	ɒ̃ĩ	fan		huz	huzn	hɛt	rɪŋkəln	fa	xlaːs		frɑːu		fəsxrɪkt	nə	butn	hei	da	z			tufaləx	dʊː	lɒpt	krɛkt		xlasɛtər		frɑːu	fraːxt				rut		mɒkŋ	mʌr	in		kɒːrdə	tit	snøfəln	ɛr	in		strʊːt			rut	rutn		pəlitsiɑxɛnt	lɛt	nɑu	ɛkstra	xɑud	ɔp	ɑz	hɑi	dʏːr			lʌpt	mʌr	dɛn	zɪxt	hɑi	ɔp		hɑuk	fan		strʊːt	ə	løɟə	jɔŋkjə		t	jɔŋkjə	ʋɪl	nɛt		n	stɑin	smitn	eibm	lʊːdər	zʏx		pəlitsiɑxɛː̃t	t	jɔŋkjə	sʊːmm	mɛt		xlasɛtər	loupm		ɑxɛnt	bəslyt	ɔm		bɒːidnt	aː̃	tə	hɒln	mʌr	t	lʏkt	hɒm	nɑit	ɔm	sə	tə	pakŋ	tə	kriɡŋ
Vaals	əd	ɛʃ	ʃtɛl	ɪ		ʃtʀɔəʃ			ɔbɛns		bei	eː	fan	də	huːs	hyzəʀ	ət	jəʀɪŋkəl	fɑ	jlɑːs	ein	fʀɑu	kʏmt	jɑnsɛntsɛtzt	əʀ	uːʃ	hei	dɑt	ɪs			sufæləʃ	də	kʏmt			fɪnstərmɑːχəʀ	də	fʀɑu	fʀɒd	ɒf	hɛː		fɪnstəʀ	wɛl	ʀɛpɑʀiːʀə		ɪn		kʊʀtə	tsit	jʊntkɑpɒət		ɪ	jɪn	ʃtʀɔəʃ	jɑns	fʏl		fɪnstəʀə	dəʀ	pʊlis	kikt	nun	ækstʀa	juːt		wɛn	hɪːʀ	dœʀç			jeːt	mɑ	dan	siːt	hɪːʀ	ɔp		ɛk	fɑ	jən	ʃtʀɔəʃ							wɛl	çʀaːt	mɛd	ənə	ʃteː	wæʀpə	jæts	ʃpeːdəʀ	siːt	dəʀ	pʊlis				be	dəʀ	fɪnstərmɑːχəʀ	loːfə	dəʀ	pʊlis	wɛl				aː		hɑuə	maʀ				nɪt			tsə	pɑkə		
Veenwouden	ət	ɪs	stɪl	ɔp		dik	mɑ	dan	ɪnɪːnn	klɪŋkt	bi	ɪː̃	fan	də	huːs	huzn		ɡərɪŋkəl	fa	ɡlɛːs	ə	frau	rɪnt	fəslax	nə	butn		dɑt	ɪs			təfɑləx	dɛː	rɪnt	krɛkt	də	ɡlɛːsɛtər	də	frau	freixət	dɑt	i	ət	ryt	ʋɒl	mɑitʃə	mɑr	ɪn		kuɑtskɒfkə	tiːt	snøfələ	dər	ɪn	də	strɪtə			ryt	rytn	də	pliʃəman	lɛt	nɑ	ɛkstrə	ɡuːt	ɔp	ɑs	i	trʊ	də		rɪnt	ma	dɑn	ʃʏxt	e	əp	ə	hukə	fan	də	strɪtə	ə	lits	jɔŋkjə		ət	jɔŋkjə	sʌl	krɛk	mɛi	ə	stɪː̃	ɡʊiə	eifə	lɛtər	ʃʏxt	də	pliʃəman	ət	jɔŋkjə	təɡɛrə	mɛ	də	ɡlɛːsɛtər	rɪnn	də	plisiman	bəslyt	ɔm	zə	bɛidə	ʊːn	tə	hʌːdn	mɑr	ət	lʏkt	əm	nɛt	ɔm	sə	tə	pɑkŋ	tə	kræiən
Venray	ət	ɪs	stɪl	ɔp		stʀʌː	mɑ	dɑn	nɛː̃s	klɪŋk	bɪ	ɪː̃	fan	də	hys	hyz	ət	çəʀɪŋkəl	fə	çlɑs	ə	fʀɒu	stɑpt	ɔndɒɑn	nə	bytə	heː	dɑ	s	nɑu	ɒːk	tufɑləç	dʌː	lœpt	jyst	də	çlɑsætəʀ	də	fʀɒu	fʀɒːçt	ɒf	hɛi	də	ʀyt	wɪl	ʀəpəʀɪːʀə	mɑʀ	ɪn		kɒʀtə	tit	çʌːnkəpʌt	dəʀ	ɪn	də	stʀʌət		fɪːl	ʀyt	ʀytə	də	pliʃə	læt	nɑu	ækstʀa	çuːt	ɔp	ɑs	hei	dʏːʀ	də	stʀʌətə	lœpt	mɑ	dɑn	zit	hɪːʀ	ɔp	dən	huk	fən	də	stʀʌət	ə		mɛnəkə		ət	mænəkə	wɪl	næt		ən	stɪːn	çʊiə	ɪfkəs	lɑtəʀ	zit	də	pliʃəçænt	ət	mænəkə	saːmə	mæt	də	çlɑsætəʀ	lɯəpə	də	æçænt	bəslyt	œm	zə	ɑləbɛː	aːn	tə	hɑldə	maʀ	ət	lʏkt	əm	ni	œm	z	tə	pɑkə	tə	kʀijə
Veurne	t	ɪs	stɪl	ɔp		strɒːtə	mʌr		ɒmətəkir	kliŋk	bi	ɪː̃	fan	d	ys	yzn	t	həriŋkəl	fɑ	χlɑs	ə	frouə	stɑpt	fərsχoːtn	nɑ	bytn							dʊː	loup	ʃyst	də	hlʊːzəmʌːkər		mɑdɑm	frɑːht	ɒfdɑt	m	də	rytə	wɛl	fəmɑːkŋ	mʌr	ɛ		kɒrtn	tit	snøfəln	dər	ɛn	də	strɒːtə	stif		rytə	rytn	də	pɒliʃə	læt	ny		hud	œp	ʌt	m	dʏːr			lɒpt	mɒr	tʊnə	siːt	m	œp	dən	uk	fan	də	strʊːt	ə	klɪːn	fɪncə		t	fencə	wɛl	ʃyst		ə	stɪː̃	smitn	əbecə	lɒːtər	siːt	də	pɒliʃə	ət	fɪncə	toːpə	mæt	də	hlʊːzəmʌːkər	loːpm	də	pɒliʃə	bəslyt	fʊ	z	ɒlətwi	œp	tə	pɑkŋ	mɒr	t	lʏkt	æm	ni	fɯ		tə	pɑkŋ		
Vrouwenparochie	ət	ɪs	stɪl	ɪn		straːt	mɑ	dan	ɪnẽĩnn	kl  ̴ɪŋkt	bai	ẽĩ	fan	də	hyːs	hyzn		ɡərɪŋkəl		ɡl  ̴aːs	ə	frau	stapt	skrɔkə	na	bytən	hei	dɑ	s	nau	ouk	tufaləx	daː	loupt	krɛkt		ɡlɑːsɛtər	də	frɑu	fraːxt	ʌf	hɛi	ət	ryt	ʋɪl	maːkə	mɑ	ɪn		klɒinskɒftsi	tiːt	snøfələ	dər	ɪn	də	straːt			ryt	rytn	də	pəlisi	siːt			ɡuːt	ɒmmhinə	ɑt	i	dʏːr	də	straːtn	loupt	mʌr	dan	siːt	i	ɔp	də	huk	fan	də	straːt	ə	klɑin	jɔŋki			jɔŋki	ʋɪl	krɛkt		ən	stein	smitə	əskɒfʃə	laːtər	siːt	də	pəlisi	ət	jɔŋki	təɡaːr	mɛt	də	ɡlɑːsɛtər	loupm	də	pəlisi	bəslyt	ɔm	sə	bɒidə	ɑn	tə	hauən	mar	t	l  ̴ʏkt	əm	nit	ɔm	sə	tə	pakən	tə	kræiən
Waubach	ət	ɪʃ	ʃtɪl	ɔp		ʃtʀɔət	mɑ	dan	ɔpɪns		bɛi	eː̃	fɑn	də	huːs	huːzə		çəʀɪŋkəl		çlaːs	eːn	fʀɑu	kʏmt	çəsçʀɔkə	nə	buːtə	hei	dɑt	ɛz		ouk	tufɑləç	dʌ	lœpt	çʀaːt	də	çlɑːsætəʀ	də	fʀɑu	fʀʏçt	ɒf	hɪːʀ	də	ʀuːt	wʏl	mɑːkə	mɑʀ	ɛn		kɒʀtə	tit	çɒnkɑpʊt		ɛn	də	ʃtʀɔət	çɑns	fʏːl	ʀut	ʀuːtə	dəʀ	pəlis	læt	nu	ækstʀə	çʊːt	ɔp	wæn	hɪːʀ	dœʀç	də	ʃtʀɔətə	lœpt	mɑ	dan	ziːt	əʀ	ɔp		æk	fən	də	ʃtʀɔət					hɛt	jʏŋskə	wɪl	çʀaːt		ənə	ʃteː	wæʀpə	çæt	laːtəʀ	siːt	dəʀ	pʊlis	ət	jʏŋskə	sɑːmə	mæt	də	çlɑːsætəʀ	loːpə	dəʀ	pʊlis	bəʃlyt	ɔm	zə	ɑləbei	aː	tə	houə	mɑʀ	ət	lœkt	əm	nɪt	ɔm	zə	tə	pɑkə	tə	kʀiçə
Wervershoof	ət	ɪs	stɪl	ɔp		strɛit	mæ	dɛn	ɪniː̃ns	klɪŋkt	bai	iː	fæn	də	hæys	hayzə		xərɪŋkəl		xlas		frau	stapt	ɔndain	nə	baytə		da	s	naːu		tufaləx	di	lɑːpt	jayst		xlasɛtər	də	frau	fraːxt	ɒf	ti		raːm	wɪl	maːkə	mæ	ɪn		kɒrtə	tʌit	xaːnstɪk	ə	ɪn		strɛit	fəsxrɪkələk	fœːl		raːmə	də	tyt	lɛt	nɑu	ɛkstra	xut	ɔp	ɑʃ	i	dʏːr	də	strɛitə	lʌupt	mɑr	dɛn	sit	hɛ	ɔp	də	huk	fanʲ	də	strɛit	ə	klɒin	jɔwi		ət	jɔwi	wɪl	nɛt		ə	stɪː̃	xʊiə	ɛfis	laːtər	sit	də	tyt		jɔwi	saːmə	mɛt		xlasɛtər	lɑupə	də	tyt	bəslɪst	ɔm	zə	bɒidə	ɑnʲ	tə	hauə	mɑr				nit		sə	tə	pakə		
Westhoek	ət	ɪs	stɪːl	ɔp		dik	ma	dan	ɪnẽĩs	kl  ̴ɪŋkt	bai	ẽĩ	fan	də	hyːs	hyːzn		ɡərɪŋkəl	fan	ɡl  ̴aːs	ə	frau	stapt	ɔndɛin	na	bytn	hei	da	z	nau	ouk	tufaləx	dæː	loup	krɛkt	də	ɡl  ̴ɑːsɛtər	də	frau		ɒt	i	ət	ryt	ʋʏl	maːkə	ma	ɪn		hʏtsi	tiːt	snøfələ	dər			dik		fœːl	ryt	rytn	də	pəlisi	siːt	nɑu		ɡuːt	yt	ɑt	hɛi				loupt		dan	siːt	hɛi	ɔp	ə	huk	fan		dik	ə	klɑin	jɔŋki		ət	jɔŋki	sɛl	krɛkt		ən	stein	ɡʊiə	ənhʏtsi	l  ̴aːtər	siːt	də	pəlisi	ət	jɔŋki	təɡaːr	mɛt	də	ɡl  ̴ɑːsɛtər	lʌupm	də	pəlisi	bəsl  ̴yt	əm	zə	bɒidə	ɑːn	tə	haːuən	mɑr	ət	l  ̴ʏkt	əm	nit		sə	tə	pɑkən	tə	kræiən
Westkapelle	t	ɪs	stɪl	ɔp		stræːtə	mɑ	dan	əniː̃s	klɪŋkt	bei	ɪː̃	fɑn	d	ys	yzn		xəriŋkəl	fɑ	hlɑs	ə	fraːuə	stapt	ɔndæːn	næ	bytn		dɑ	z	nʊ	ouk	tufɑləχ	dæː	loːp	jyst	də	χlʌsætər	də	fraːuə	fraːχt	ɒf	m	də	rytə	wɛl	mæːkə	mɑ	ɛ		kɒrtə	tit	snøfələ	dər	ɛn	də	stræːtə	ɪːl	fɛː	rytə	rytən	də	pʊlisi	læt	nu	ækstrɑ	χut	ɔp	ɑs	m	dʏːr	də	stræːtn	loupt	ma	dɑnʲ	sit	m	ɔp	dən	uk	fanʲ	də	stræːtə	ən	klɛin	juəcə		hɛt	juəcə	wɛl	næt		ə	stei	χʊiə	eifə	læːtər	sit	də	pʊlisi	ət	juəcə	sæːmən	mæt	də	χlɑsætər	loupən	də	pʊlisi	bəslyt	ɔm	zə	ʊləbæi	ɑn	t	aːən	mɑr	t	lœkt	æm	ni	ɔm	zə	tə			
Workum	ət	ɪs	stɪl	ɪn		strɪtə	mɑ	dan	ɪnɪː̃s	klɪŋkt	bai	ɪː̃	fan	də	hys	hysn		ɡərɪŋkəl	fan	ɡl  ̴ɛːs	ə	frau	stapt		na	bytn	hei	da	s			tufɑləx	dɛːr	rɪnt			ɡlɛːsəɛtər	də	frau	freixət	ɒt	ər	ət	ryt	ʋɒl	repərɪːrə	mɑːr	in		kɒrtə	tiːt	ɡɛnstɪkə		in	ə	strʏtə			ryt	rytn	də	pliʃə	lɛt	nɑu	ɛkstra		ɔp	ɒt	ə	trʏ	də	strʏtn	rɪnt	mɑ	dɑn	ʃʏxt	ə	ɔp	ə	hukə	fan	də	strʏtə	ə	lits	jɔŋkjə	stɪː̃n	ət	jɔŋkjə	ʋɔl	krɛk		ə		ɡʊiə	eifə	lɛtər	ʃœt	də	pliʃə	ət	jɔŋkjə	təɡɛːrə	mai	də	ɡlɛːsɛtər	rɪnn	də	pliʃə	bəslyt			baidə	ʊːn	tə	hʌːdn	mɑːr	ət	lʏk		nɛt		sə	tə	pakə	tə	kræiə
Zandvliet	t	ɪs	stɪl	ɔp	t	strɑːt	mɒr		ɪnɪː̃s	kliŋkt	bɛi	ɪː̃n	fan	d	œːs	œːzə		çəriŋkəl	fa	çlas		madam	stapt		nər	bœːtə	hei	dɑ	s	nɑu	ʊːk	tufɑləx	dər	lɔp	ʃyst		çlɑːzəmɑːkər		madam	frɑːçt	ɒfdat	m		rʌːm	wʏlt	mʌːkə	mɒr	in		kœrtən	tæːt	xɒːnkæpɒt	dər	ɪn	t	strʌːt	hiːl	fœːl		rʌːmə	də	pɒlis	læt	nɑu		hɑːrt	up	ɑs	m	dʏːr	də	strʌːtə	lɔːpt	mʌr	dan	siːt	m	up	dən	uk	fan	t	strʌːt	ən	klɛin	jɔŋəskə			juəskə	wʏl	tʃyst		nə	stɪː̃	çʊiə	əbitʃə	lɑːtər	siːt	də	pɒlis		juəskə	sʌːmə	mɪt		çlʌːsəmʌːkər	lɤːpə	də	pɒlis	bəslist	ɔm	zə	ɑlətwɑi	ɑːn	t	hɑuə	mɒr	t	lʏk		ni	ɔm	z	tə	pakə		
Zevenhuizen	hɛt	ɪs	stɪl	ɔp		strʊːt	mʌr		ɪnẽĩns		bɑi	ɪː̃	fan	də		hyzn		xərɪŋkəl		xlas	ə	frau	stap	aː̃slɒɡŋ	nə	bytn	hei	dæ	z	nau		tufaləx	də	lʌp	nɛt		xlasɛtər	də	frau	frʊːxt	ɒf	hɛi		xlas	ʋʏl	mʌːkŋ	mʌr	in		sxʌfkə	tit	xɒːnstʏk	ə	in		strʊːt		føːl		rʊːmm	də	pəlitsi			ɛkstrə	χud		az	ə	dʏːr	də	strʊːtn	lʌpt	mʌ	dan	sɪxt	hɛ	ɔp	ə	huk	fan	də	strʊːt	ə	lø	jʌŋkjə		hət	jʌŋkjə	ʋɪl	nɛt		n	stein	xʊin	əsxɒfkə	lʊːdər	sɪxt	də	plitsi	ət	jʌŋkjə	sɒːmm	mɛt	də	xlasɛtər	lʌupm	də	plitsi	bəslyt	ʏm	sə	baidn	aː̃	tə	hɒːln					nit			tə	pɑkŋ		kriɡŋ
Zierikzee	hɛt	ɪs	stɪl	ɔp		straːtə	mɑ	dɑn	ɪnɪː̃s	kliŋkt	bi	eː̃n	fɑn	də	ys	ysn		xərɪŋkəl	fɑ	χlɑs	ə	fraːuə	stɑp	ɔndaːn	na	bytə		dɑ	z	nʊ	oːk	tufɑləχ	daː	lʌp	jyst	də	xlɑsætər	də	məfrau	fraːχt	ɒf	m	də	rytə	wɪl	maːkə	mɑ	ɪ		kɒrtə	tit	snøfələ	dər	ɪn	də	straːtə	ɪːl	feː	rytə	rytən	də	pəlisiɑχɛnt	kik	nu	ækstra	xut		ɑt	m	dʏːr			l  ̴ɑpt	mɑ	dɑn	sit	m	ɔp	t	huk	fɑn	də	straːt	nə	klɛin	jɔŋəcə		ət	jɔŋəcə	wɪl	næt		ə	steinə	xʊiə	eifən	laːtər	zit	də	pəlitsiɑχɛnt	ət	jɔŋəcə	saːmə	mət	də	χlɑsætər	lɑːpə	də	ɑχɛnt	bəslyt	ɔm		bæiə	ɑn	tə	aːun	mɑ	ət	lʏkt		ni		sə	tə	pɑkə	tə	krɪχən
Zwinderen	hɛt	ɪs	rʏstəx	ɔp		strʌːt	mɑr		ɪneː̃s		bai	eː̃	fɑn	də	hys	huːzn	hɛt	xərɛŋkəl	fa	xlɑs	ə	frɑu	kɔm	bətøːtərt	nɑ	bytn							dʌ	lœp	nɛt	də	xlɑsɛtər	də	frɑu	frʌx	ɒf	hɑi	də	rutə	ʋɪl	maːkŋ	mɑr	ɪn		kʌrtə	tit	snøfəlt	ər	ɪn	də	strʌːt			rut	rutn	də	pəlitsiɑxɛnt			ɛkstra			ʋənɪːr	hɛi	dʏːr	də	strʌːtn	lœp	mɑ	dɑn	sœt	ɪ	əp	də	hɯk	fɑn	də	strʌːt	ə	klɛin	kɪrəlti		hət	fænti	ʋʏl	jyst		ə	stɪː̃	xʊin	eːbm	laːtər	sœt	də	ɑxɛnt	t	jɒxi					loːpm	də	ɑxɛnt	bəslœt	ɔm	sə	bɛidn	ɑn	tə	hɒːln	mar				nit		sə	tə	pɑkŋ		