	ɑ	l	s	a	t	z	ɾ	ə	b	ɛ	i	e	œ	y	ʔ	n	u	d	ʊ	r	o	x	g	æ	ɣ	ɔ	m	h	ɪ	k	ŋ	j	ʏ	ø	ɒ	ʋ	w	p	f	v	ʃ	-
ɑ	0	0.98363	0.987191	0.0201907	0.990546	0.983781	0.967412	0.992187	0.0319335	0.0294351	0.036812	0.030166	0.0314563	0.985982	0.983893	0.98753	0.98653	0.986168	0.964118	0.986976	0.988882	0.986386	0.984641	0.025375	0.977399	0.0208548	0.978443	0.983386	0.0272262	0.983478	0.978122	0.98133	0.0308099	0.0259755	0.963631	0.973992	0.9704	0.978813	0.978462	0.977864	0.977623	0.0461203
l	0.98363	0	0.9844	0.986679	0.987756	0.98099	0.964622	0.989397	0.0291431	0.987871	0.98636	0.981396	0.982376	0.983192	0.981102	0.984739	0.98374	0.0201143	0.961328	0.0167898	0.986091	0.983596	0.98185	0.96938	0.974608	0.985594	0.975652	0.980595	0.984723	0.980688	0.975332	0.978539	0.980858	0.966159	0.96084	0.971201	0.96761	0.976023	0.975672	0.975073	0.974832	0.0311249
s	0.987191	0.9844	0	0.990239	0.0293988	0.0149305	0.0166387	0.992957	0.0327034	0.991432	0.98992	0.984957	0.985936	0.986752	0.031872	0.0254706	0.9873	0.0422667	0.964888	0.987746	0.989652	0.987156	0.0288885	0.972941	0.978169	0.989155	0.979213	0.0493016	0.988283	0.0232146	0.978892	0.0317288	0.984418	0.969719	0.964401	0.0200391	0.97117	0.979583	0.979232	0.978633	0.0164365	0.0333647
a	0.0201907	0.986679	0.990239	0	0.993595	0.98683	0.970461	0.995236	0.0349824	0.0245897	0.0442776	0.0260636	0.0269172	0.989031	0.986941	0.990579	0.989579	0.989217	0.967167	0.990025	0.991931	0.989435	0.987689	0.019795	0.980448	0.0229559	0.981492	0.986435	0.0316545	0.986527	0.981171	0.984379	0.0376497	0.971998	0.96668	0.977041	0.973449	0.981862	0.981511	0.980913	0.980672	0.0328254
t	0.990546	0.987756	0.0293988	0.993595	0	0.0299903	0.0271126	0.996312	0.0360589	0.994787	0.993276	0.988312	0.989292	0.990108	0.0210024	0.0428136	0.990656	0.0188829	0.968244	0.991102	0.993007	0.0258244	0.0408443	0.976296	0.981524	0.99251	0.982568	0.987511	0.991638	0.0298289	0.982248	0.985455	0.987774	0.973074	0.967756	0.978117	0.974526	0.982938	0.028134	0.981989	0.981748	0.0286606
z	0.983781	0.98099	0.0149305	0.98683	0.0299903	0	0.0163694	0.989547	0.0292935	0.988022	0.98651	0.981547	0.982526	0.983342	0.981252	0.98489	0.98389	0.983528	0.961478	0.984336	0.986242	0.983746	0.982001	0.969531	0.974759	0.985745	0.975803	0.0514341	0.984873	0.980838	0.975482	0.97869	0.981008	0.966309	0.960991	0.971352	0.96776	0.976173	0.975822	0.975224	0.0147507	0.994899
ɾ	0.967412	0.964622	0.0166387	0.970461	0.0271126	0.0163694	0	0.973178	0.0129248	0.971653	0.970142	0.965178	0.966158	0.966974	0.964884	0.968521	0.967522	0.967159	0.94511	0.967968	0.969873	0.967377	0.965632	0.953162	0.95839	0.969376	0.959434	0.964377	0.968504	0.964469	0.959114	0.962321	0.96464	0.94994	0.944622	0.954983	0.951392	0.959804	0.959453	0.958855	0.958614	0.97853
ə	0.992187	0.989397	0.992957	0.995236	0.996312	0.989547	0.973178	0	0.0377	0.0339177	0.0296304	0.0365314	0.990933	0.0624372	0.989659	0.993296	0.992297	0.991934	0.969885	0.992743	0.0385568	0.992153	0.990407	0.977937	0.983165	0.994151	0.984209	0.989152	0.0416752	0.989245	0.983889	0.987096	0.0396185	0.974715	0.969397	0.979758	0.976167	0.98458	0.984229	0.98363	0.983389	0.0247377
b	0.0319335	0.0291431	0.0327034	0.0349824	0.0360589	0.0292935	0.0129248	0.0377	0	0.0361745	0.0346632	0.0296997	0.0306794	0.0314951	0.0294054	0.0330426	0.0320432	0.0316806	0.00963113	0.0324892	0.0343946	0.031899	0.0301534	0.0176838	0.0229117	0.0338975	0.0239556	0.0288985	0.0330259	0.0289909	0.0236352	0.0268428	0.0291611	0.0144618	0.00914365	0.0195047	0.0159132	0.0243259	0.023975	0.0233765	0.0231357	0.0430518
ɛ	0.0294351	0.987871	0.991432	0.0245897	0.994787	0.988022	0.971653	0.0339177	0.0361745	0	0.028975	0.0330892	0.0368633	0.0250967	0.988134	0.991771	0.990771	0.990409	0.968359	0.991217	0.0284629	0.990627	0.988882	0.0241798	0.98164	0.0316774	0.982684	0.987627	0.0265902	0.987719	0.982363	0.985571	0.0319243	0.038336	0.967872	0.978233	0.974641	0.983054	0.982703	0.982105	0.981864	0.0294876
i	0.036812	0.98636	0.98992	0.0442776	0.993276	0.98651	0.970142	0.0296304	0.0346632	0.028975	0	0.0190008	0.987896	0.0440411	0.986622	0.990259	0.98926	0.988897	0.966848	0.989706	0.0309984	0.989116	0.98737	0.974901	0.980129	0.0389907	0.981173	0.986115	0.0214013	0.986208	0.980852	0.0355438	0.0225402	0.0167006	0.966361	0.976722	0.97313	0.981543	0.981192	0.980593	0.980353	0.032531
e	0.030166	0.981396	0.984957	0.0260636	0.988312	0.981547	0.965178	0.0365314	0.0296997	0.0330892	0.0190008	0	0.0234073	0.983748	0.981659	0.985296	0.984297	0.983934	0.961884	0.984743	0.03216	0.984152	0.982407	0.969937	0.975165	0.0319452	0.976209	0.981152	0.0293143	0.981244	0.975889	0.979096	0.0416122	0.0248674	0.961397	0.971758	0.968166	0.976579	0.976228	0.97563	0.975389	0.0444181
œ	0.0314563	0.982376	0.985936	0.0269172	0.989292	0.982526	0.966158	0.990933	0.0306794	0.0368633	0.987896	0.0234073	0	0.984728	0.982638	0.986276	0.985276	0.984914	0.013245	0.985722	0.0183672	0.985132	0.983386	0.970917	0.976145	0.0326426	0.977189	0.982132	0.0307493	0.982224	0.976868	0.980076	0.982394	0.967695	0.0162544	0.0175762	0.0160302	0.977559	0.977208	0.976609	0.976369	0.0382318
y	0.985982	0.983192	0.986752	0.989031	0.990108	0.983342	0.966974	0.0624372	0.0314951	0.0250967	0.0440411	0.983748	0.984728	0	0.983454	0.987091	0.0148612	0.985729	0.96368	0.986538	0.039296	0.985948	0.984202	0.971733	0.97696	0.987946	0.978004	0.982947	0.0327613	0.98304	0.977684	0.980892	0.0263123	0.968511	0.963192	0.973553	0.969962	0.978375	0.978024	0.977425	0.977184	0.0463556
ʔ	0.983893	0.981102	0.031872	0.986941	0.0210024	0.981252	0.964884	0.989659	0.0294054	0.988134	0.986622	0.981659	0.982638	0.983454	0	0.985002	0.984002	0.0291861	0.96159	0.984448	0.986354	0.0510497	0.0310195	0.969643	0.974871	0.985856	0.975915	0.980858	0.984985	0.0282565	0.975594	0.978802	0.98112	0.966421	0.961103	0.971464	0.967872	0.0156617	0.975934	0.975335	0.975095	0.0301846
n	0.98753	0.984739	0.0254706	0.990579	0.0428136	0.98489	0.968521	0.993296	0.0330426	0.991771	0.990259	0.985296	0.986276	0.987091	0.985002	0	0.987639	0.987277	0.965227	0.0462378	0.989991	0.987495	0.98575	0.97328	0.978508	0.989494	0.015145	0.0280653	0.988622	0.027032	0.0180412	0.0190864	0.984757	0.970058	0.96474	0.975101	0.971509	0.016464	0.979571	0.978973	0.978732	0.0285675
u	0.98653	0.98374	0.9873	0.989579	0.990656	0.98389	0.967522	0.992297	0.0320432	0.990771	0.98926	0.984297	0.985276	0.0148612	0.984002	0.987639	0	0.986277	0.964228	0.987086	0.0232206	0.986496	0.98475	0.972281	0.977509	0.988494	0.978553	0.983495	0.987623	0.983588	0.978232	0.98144	0.983758	0.969059	0.963741	0.974102	0.97051	0.978923	0.978572	0.977973	0.977733	0.0333782
d	0.986168	0.0201143	0.0422667	0.989217	0.0188829	0.983528	0.967159	0.991934	0.0316806	0.990409	0.988897	0.983934	0.984914	0.985729	0.0291861	0.987277	0.986277	0	0.963865	0.986723	0.988629	0.986133	0.0414142	0.971918	0.977146	0.988132	0.97819	0.983133	0.98726	0.0383195	0.977869	0.981077	0.983395	0.968696	0.963378	0.973739	0.970147	0.97856	0.978209	0.977611	0.97737	0.0344965
ʊ	0.964118	0.961328	0.964888	0.967167	0.968244	0.961478	0.94511	0.969885	0.00963113	0.968359	0.966848	0.961884	0.013245	0.96368	0.96159	0.965227	0.964228	0.963865	0	0.964674	0.0221546	0.964084	0.962338	0.949869	0.955096	0.966082	0.95614	0.961083	0.965211	0.961176	0.95582	0.959028	0.961346	0.946647	0.941328	0.951689	0.948098	0.956511	0.95616	0.955561	0.955321	0.975237
r	0.986976	0.0167898	0.987746	0.990025	0.991102	0.984336	0.967968	0.992743	0.0324892	0.991217	0.989706	0.984743	0.985722	0.986538	0.984448	0.0462378	0.987086	0.986723	0.964674	0	0.989437	0.0331522	0.985196	0.972727	0.977955	0.98894	0.978998	0.983941	0.988069	0.984034	0.978678	0.981886	0.984204	0.969505	0.964186	0.974548	0.970956	0.979369	0.979018	0.978419	0.978179	0.0257973
o	0.988882	0.986091	0.989652	0.991931	0.993007	0.986242	0.969873	0.0385568	0.0343946	0.0284629	0.0309984	0.03216	0.0183672	0.039296	0.986354	0.989991	0.0232206	0.988629	0.0221546	0.989437	0	0.988847	0.987102	0.974632	0.97986	0.0313839	0.980904	0.985847	0.0228313	0.985939	0.980583	0.983791	0.0195461	0.97141	0.0194562	0.0207779	0.0192319	0.981274	0.980923	0.980325	0.980084	1
x	0.986386	0.983596	0.987156	0.989435	0.0258244	0.983746	0.967377	0.992153	0.031899	0.990627	0.989116	0.984152	0.985132	0.985948	0.0510497	0.987495	0.986496	0.986133	0.964084	0.0331522	0.988847	0	0.0149469	0.972136	0.0140414	0.98835	0.978408	0.983351	0.987479	0.983444	0.0354625	0.981295	0.983614	0.968915	0.963596	0.973957	0.970366	0.978779	0.978428	0.977829	0.977588	0.0324155
g	0.984641	0.98185	0.0288885	0.987689	0.0408443	0.982001	0.965632	0.990407	0.0301534	0.988882	0.98737	0.982407	0.983386	0.984202	0.0310195	0.98575	0.98475	0.0414142	0.962338	0.985196	0.987102	0.0149469	0	0.970391	0.0193314	0.986605	0.976663	0.981606	0.985733	0.0407701	0.0337169	0.97955	0.981868	0.967169	0.961851	0.972212	0.96862	0.977033	0.976682	0.976084	0.975843	0.0322259
æ	0.025375	0.96938	0.972941	0.019795	0.976296	0.969531	0.953162	0.977937	0.0176838	0.0241798	0.974901	0.969937	0.970917	0.971733	0.969643	0.97328	0.972281	0.971918	0.949869	0.972727	0.974632	0.972136	0.970391	0	0.963149	0.0232479	0.964193	0.969136	0.973263	0.969228	0.963873	0.96708	0.969399	0.954699	0.949381	0.959742	0.956151	0.964563	0.964212	0.963614	0.963373	0.983289
ɣ	0.977399	0.974608	0.978169	0.980448	0.981524	0.974759	0.95839	0.983165	0.0229117	0.98164	0.980129	0.975165	0.976145	0.97696	0.974871	0.978508	0.977509	0.977146	0.955096	0.977955	0.97986	0.0140414	0.0193314	0.963149	0	0.979363	0.969421	0.974364	0.978491	0.974456	0.969101	0.972308	0.974626	0.959927	0.954609	0.96497	0.961379	0.969791	0.96944	0.968842	0.968601	0.988517
ɔ	0.0208548	0.985594	0.989155	0.0229559	0.99251	0.985745	0.969376	0.994151	0.0338975	0.0316774	0.0389907	0.0319452	0.0326426	0.987946	0.985856	0.989494	0.988494	0.988132	0.966082	0.98894	0.0313839	0.98835	0.986605	0.0232479	0.979363	0	0.980407	0.98535	0.0281522	0.985442	0.980086	0.983294	0.0315914	0.970913	0.965595	0.975956	0.972364	0.980777	0.980426	0.979828	0.979587	0.029888
m	0.978443	0.975652	0.979213	0.981492	0.982568	0.975803	0.959434	0.984209	0.0239556	0.982684	0.981173	0.976209	0.977189	0.978004	0.975915	0.015145	0.978553	0.97819	0.95614	0.978998	0.980904	0.978408	0.976663	0.964193	0.969421	0.980407	0	0.975408	0.979535	0.9755	0.970145	0.973352	0.97567	0.960971	0.955653	0.966014	0.962422	0.970835	0.970484	0.969886	0.969645	0.0323941
h	0.983386	0.980595	0.0493016	0.986435	0.987511	0.0514341	0.964377	0.989152	0.0288985	0.987627	0.986115	0.981152	0.982132	0.982947	0.980858	0.0280653	0.983495	0.983133	0.961083	0.983941	0.985847	0.983351	0.981606	0.969136	0.974364	0.98535	0.975408	0	0.984478	0.980443	0.975087	0.978295	0.980613	0.965914	0.960596	0.970957	0.967365	0.975778	0.975427	0.974829	0.974588	0.0244079
ɪ	0.0272262	0.984723	0.988283	0.0316545	0.991638	0.984873	0.968504	0.0416752	0.0330259	0.0265902	0.0214013	0.0293143	0.0307493	0.0327613	0.984985	0.988622	0.987623	0.98726	0.965211	0.988069	0.0228313	0.987479	0.985733	0.973263	0.978491	0.0281522	0.979535	0.984478	0	0.98457	0.979215	0.982422	0.0265871	0.970041	0.964723	0.975084	0.971493	0.979905	0.979555	0.978956	0.978715	0.998631
k	0.983478	0.980688	0.0232146	0.986527	0.0298289	0.980838	0.964469	0.989245	0.0289909	0.987719	0.986208	0.981244	0.982224	0.98304	0.0282565	0.027032	0.983588	0.0383195	0.961176	0.984034	0.985939	0.983444	0.0407701	0.969228	0.974456	0.985442	0.9755	0.980443	0.98457	0	0.97518	0.0153904	0.980706	0.966006	0.960688	0.971049	0.967458	0.97587	0.97552	0.974921	0.97468	0.0283632
ŋ	0.978122	0.975332	0.978892	0.981171	0.982248	0.975482	0.959114	0.983889	0.0236352	0.982363	0.980852	0.975889	0.976868	0.977684	0.975594	0.0180412	0.978232	0.977869	0.95582	0.978678	0.980583	0.0354625	0.0337169	0.963873	0.969101	0.980086	0.970145	0.975087	0.979215	0.97518	0	0.973032	0.97535	0.960651	0.955333	0.965694	0.962102	0.970515	0.970164	0.969565	0.969325	0.0273551
j	0.98133	0.978539	0.0317288	0.984379	0.985455	0.97869	0.962321	0.987096	0.0268428	0.985571	0.0355438	0.979096	0.980076	0.980892	0.978802	0.0190864	0.98144	0.981077	0.959028	0.981886	0.983791	0.981295	0.97955	0.96708	0.972308	0.983294	0.973352	0.978295	0.982422	0.0153904	0.973032	0	0.978557	0.963858	0.95854	0.968901	0.96531	0.973722	0.973371	0.972773	0.972532	0.0313219
ʏ	0.0308099	0.980858	0.984418	0.0376497	0.987774	0.981008	0.96464	0.0396185	0.0291611	0.0319243	0.0225402	0.0416122	0.982394	0.0263123	0.98112	0.984757	0.983758	0.983395	0.961346	0.984204	0.0195461	0.983614	0.981868	0.969399	0.974626	0.0315914	0.97567	0.980613	0.0265871	0.980706	0.97535	0.978557	0	0.0278257	0.960858	0.971219	0.967628	0.976041	0.97569	0.975091	0.97485	0.994766
ø	0.0259755	0.966159	0.969719	0.971998	0.973074	0.966309	0.94994	0.974715	0.0144618	0.038336	0.0167006	0.0248674	0.967695	0.968511	0.966421	0.970058	0.969059	0.968696	0.946647	0.969505	0.97141	0.968915	0.967169	0.954699	0.959927	0.970913	0.960971	0.965914	0.970041	0.966006	0.960651	0.963858	0.0278257	0	0.946159	0.95652	0.952929	0.961341	0.96099	0.960392	0.960151	0.980067
ɒ	0.963631	0.96084	0.964401	0.96668	0.967756	0.960991	0.944622	0.969397	0.00914365	0.967872	0.966361	0.961397	0.0162544	0.963192	0.961103	0.96474	0.963741	0.963378	0.941328	0.964186	0.0194562	0.963596	0.961851	0.949381	0.954609	0.965595	0.955653	0.960596	0.964723	0.960688	0.955333	0.95854	0.960858	0.946159	0	0.0128512	0.0113052	0.956023	0.955672	0.955074	0.954833	0.974749
ʋ	0.973992	0.971201	0.0200391	0.977041	0.978117	0.971352	0.954983	0.979758	0.0195047	0.978233	0.976722	0.971758	0.0175762	0.973553	0.971464	0.975101	0.974102	0.973739	0.951689	0.974548	0.0207779	0.973957	0.972212	0.959742	0.96497	0.975956	0.966014	0.970957	0.975084	0.971049	0.965694	0.968901	0.971219	0.95652	0.0128512	0	0.0126269	0.966384	0.966033	0.965435	0.965194	0.98511
w	0.9704	0.96761	0.97117	0.973449	0.974526	0.96776	0.951392	0.976167	0.0159132	0.974641	0.97313	0.968166	0.0160302	0.969962	0.967872	0.971509	0.97051	0.970147	0.948098	0.970956	0.0192319	0.970366	0.96862	0.956151	0.961379	0.972364	0.962422	0.967365	0.971493	0.967458	0.962102	0.96531	0.967628	0.952929	0.0113052	0.0126269	0	0.962793	0.962442	0.961843	0.961603	0.981519
p	0.978813	0.976023	0.979583	0.981862	0.982938	0.976173	0.959804	0.98458	0.0243259	0.983054	0.981543	0.976579	0.977559	0.978375	0.0156617	0.016464	0.978923	0.97856	0.956511	0.979369	0.981274	0.978779	0.977033	0.964563	0.969791	0.980777	0.970835	0.975778	0.979905	0.97587	0.970515	0.973722	0.976041	0.961341	0.956023	0.966384	0.962793	0	0.970855	0.970256	0.970015	0.0429801
f	0.978462	0.975672	0.979232	0.981511	0.028134	0.975822	0.959453	0.984229	0.023975	0.982703	0.981192	0.976228	0.977208	0.978024	0.975934	0.979571	0.978572	0.978209	0.95616	0.979018	0.980923	0.978428	0.976682	0.964212	0.96944	0.980426	0.970484	0.975427	0.979555	0.97552	0.970164	0.973371	0.97569	0.96099	0.955672	0.966033	0.962442	0.970855	0	0.005	0.969664	0.98958
v	0.977864	0.975073	0.978633	0.980913	0.981989	0.975224	0.958855	0.98363	0.0233765	0.982105	0.980593	0.97563	0.976609	0.977425	0.975335	0.978973	0.977973	0.977611	0.955561	0.978419	0.980325	0.977829	0.976084	0.963614	0.968842	0.979828	0.969886	0.974829	0.978956	0.974921	0.969565	0.972773	0.975091	0.960392	0.955074	0.965435	0.961843	0.970256	0.005	0	0.969066	0.988982
ʃ	0.977623	0.974832	0.0164365	0.980672	0.981748	0.0147507	0.958614	0.983389	0.0231357	0.981864	0.980353	0.975389	0.976369	0.977184	0.975095	0.978732	0.977733	0.97737	0.955321	0.978179	0.980084	0.977588	0.975843	0.963373	0.968601	0.979587	0.969645	0.974588	0.978715	0.97468	0.969325	0.972532	0.97485	0.960151	0.954833	0.965194	0.961603	0.970015	0.969664	0.969066	0	0.988741
-	0.0461203	0.0311249	0.0333647	0.0328254	0.0286606	0.994899	0.97853	0.0247377	0.0430518	0.0294876	0.032531	0.0444181	0.0382318	0.0463556	0.0301846	0.0285675	0.0333782	0.0344965	0.975237	0.0257973	1	0.0324155	0.0322259	0.983289	0.988517	0.029888	0.0323941	0.0244079	0.998631	0.0283632	0.0273551	0.0313219	0.994766	0.980067	0.974749	0.98511	0.981519	0.0429801	0.98958	0.988982	0.988741	0