location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_6	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in_1	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt	lopen	lukt	maar_1	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te	tijd	toevallig	van	veel	vraagt	vrouw	wil_1	ze_1	ziet_1
Pannerden	ɑn	plisi		ɑləbæi	bəslyt	bei	bytə	dæ	dɑn	dɑ	də		en	ən	dər	ɛkəs	ækstra	çərɪŋkəl	çlɑs	çlɑsætər	çut	çʊiə	hei	hɪl		ət	i	huk	hɒldə	hys	ɪn	ɪnɛns	ɪs	kɛljə	nɛt	klɛin	klɪŋk	kɒrtə	kʀiçə	lɒtər			lopə		mɑr	mæt	frɑu	nə	næt	nit		nɑ	ɒf		fɑslɑç	ok	ɔp	pak	plisi	makə	ryt	rytə	samm	snøfələ		trɛit	kɛi	stɪl	strʌt		tə	tit	tufɑləç	fan	føl	frœç	frɑu	wɛl	zə	zit
Poperinge	ɑn	hɑrdə	ɑt	ɒlətwiə	ɪsfɑnplɑn	bi	bytn		tʊn		də	dʏr	ɪn	ə	dər	əmænt			hlɑs	hlɒzənir		smitn				t	m	uk	ɯn	yzn	ɛn	ɔməkiɻ	ɪs	fæncə	jyst	klin				lɒtər	læt	pɑsɪrt			mʌr	bɪ	frɒmɛs	nɒ	ʃystə	ni		n	ɒfdɑt	ɔm	fɑntfəsχɒt		ɔp	pɑkŋ	hɑrdə	fəmɒkŋ	rytə	rytn	təhɒrə			kɔmt	stɪn	stɪl	strʌtə	strɒtn	t			fan		frɔχt	frɒmɛs	ɪʃvanplɑn	sə	sit
Reeuwijk	an	axɛnt		ʌləbai	bəslʌyt	bɑi	bœytə	da	dɑn	də	də	dʊr	ein	ə	ə	eifə	ɛkstrə	xərɪŋkəl	xlɑs	xlʌsɛtər	xɯt	xʊiə	hei	heil	hɛm	hɛt	i	hɯk	hɑudə	hayzə		ɪneins	ɪs	juŋəcə		klɑin	klɪŋkt	kʊrtə	krɑiha	latər	lɛt	loupt	lʌupə	l̴ʏkt	mar	mɛt	frɑu	na	nɛt	nit		ny	ɒf			ək	ɔp	pɑkə	pəlitsiəxɛnt	makə	rayt	raytə	samə	xɛnkəpʊt		stɒpt	stei	rʏstəx	strat		tə	tɑit	tufʌləx	fɑn	føl	fraxt	frɑu	ʋʏl	sə	zit
Rijen		pəliʃə	æs	ɑləbæi	wɪl			dɒ	dɑn	dæ	də	dʏʀ		nə		ɛfkəs			çlɑs			çʊiə				t	i	huk	ɑʀəstɪʀə			ɪnes	ɪs		ɟyst				kʀɛiçə	lʌtəʀ	læt	lɒp	lɒpə			mɪt			syst	ni						ouk	ɔp		fæltwɑçtəʀ		çlɑs	ʀœtə	sʌmm				kɑi	stɪl	stʀɒt									wɛl	zə	zit
Rijkevorsel	ʌn	pəlisi	ɑs		wʏl	bei	batə	də	dɑn	da	də	dʏʀ	ɪ	nə	əʀ	efkəs	ɛkstʀa	çəʀiŋkəl	çlas	çlʌzəmʌkəʀ	çud	çuiə	hei	ɪl	əm	t	m	uk	hauə	œzə	ɪn	ɪnis	ɪs	juŋəskə	ʃyst	klæin	klɪŋk	kœʀtə	kʀɛiə	lʌtəʀ	lɛt	lʏpt	lɯpə	lʏkt	maʀ	mɛt	mɑdɑm	nə	ʃyst	ni	nau	nɑu	ɒf				ɔp	pakə	pəlisi	ʀəpaʀɪʀə	ʀœt	ʀœtə	sɑmə	snøfəln		stɑpt	stɪn	stɪl	stʀʌt	stʀʌtə		tæt	lykə	fan	føl	fʀʌçt	fʀɑɯ	wʏl	zə	sit
Roswinkel	æ	fɛltʋaxtər	az	bɛidə	ɪsfanplan	bi	butn		dan	da	də	dʏr	ɑi	ən	dər	nzɛɟə		xərɪŋkəl	xlas	xlasɛtər	xɑut	xʊin	he		hɛm	t	ər	hɑuk	hɒln	huzn	ɪn	inɑimʊl	ɪs	jɔŋki	nɛt			kœrdə	kriɡŋ	lɒtər		lʌp	loupm	xəlʏkt	mʌr	mɛt	frɑu	na	nɛt	ni	nɑu	nɑu	ɒf		fəsxrɪk	ouk	ɔp	pakŋ	fɛltʋaxtər	klɒrmɒkŋ		rʌmm	xəlik	kɒmmstʏk		kɔmt	stɑinə	stɪl	strʊdə		tə	tit	tufɑlə	fan	føl	frɑx	frɑu	ʋɪl	zə	zʏx
s-Gravenvoeren	a	ʃɑndɑʀm	ɛs	aləbei	bəslyt	bi	butə	də	dɑ	dɑt	də	dʊʀ	ɪn	ənə		əbitʃə		bʀikə	çlas	çlasəniʀkə	çut	bʀuiə		hil	əm	t	hiʀ	hʊk	hɔuə	huzəʀ	i	ɤbɪns	ɪʃ	jʏŋskə	ʃyst	klen	klɪŋkt	kɒʀtə	kʀiçə	latəʀ	lɪt	lʏpt	lɯpə	lʏkt	mɛ	mət	mɑdɑm	nɑ	ʃyz	nɪət		nu	ɒf	fœʀ		oç	ɪ		ʃɑndɑʀm	ʀepɑʀɪʀə	ʀut	ʀutə	təhoupə	fliçənkɑput		kʏmp	ʃte	ʃtɪlə	ʃtʀot		tə	tit	lʏkə	fɑn	fœl	fʀøçt	fʀɔu	wɪl	sə	zit
Sexbierum	ʊn	pəlisi	ɑt	bɑidə	bəslyt	bai	butn	da	dan	dɑt	də	trʊ	ɪ	ən	də	ɛfkəs	ɛkstrə	ɡərɪŋkəl	ɡl̴ɛs	ɡlɛsɛtər	ɡut	ɡʊiə	he		hɛm	ət	ər	hukə	hɒdn	hyzn	in		ɪs	jɔŋkjə	krɛk	lits		kuɑtə	kraiə	lɛtər	lɛt	rɪnt	rɪnn	lʏkt	mɑr	ma	frɑu	nɑi	krɛkt	nɛt			ɒf	ɔm	untdɪn	ɛk	ɔp	pakən	pliʃə	mɑitʃə	ryt	rytn	təɡɛrə	snøfələ		stapt	stɪn	stɪl	strɪtə	strɪtə	tə	tit	tɑfɑləx	fan		freiɡət	frɑu	ʋɔl	zə	ʃʏxt
Sint Annaparochie	ɑn	plisimɑn	ɑt	bɒidə	bəslyt	bai	bytn	dæ	dan	dɑt	də	dʏr	ein	n	dər	eifən		rɛŋkələn	ɡlɑs	ɡlɑsɛtər	ɡut	ɡʊiə			hɛm	ət	i	huk	hɑuən	hyzn	ɪn	ɪneinən	ɪs	jɔŋətsi	krɛkt			kɒrthʏtsi	krɑiən	latər		kɔmt	loupən	sl̴axt	mɑr	mɛt	frɑu	nə	krɛkt	nit	nɑu	nɑu	ɑt	ɔm	heilndɑlfɑnətsɛntrəm	ok	ɔp	pɑkən	plisiman	repərɪrə	ryt	rytn		ɡanstɪkŋ		kɔmd	stein	stɪl	dik	stratn	tə		tufɑləx	fan		fraxt	frɑu	ɪsfandʊl	zə	sit
Sint-Oedenrode	ʌn	plisi	æz	ɑləbæi		bɛ	bœtə	də			də	dʏʀ	ein	ənə	dəʀ	ɛfkəs		çəʀɪŋkəl	çlɑs			çʊiə	hei			t		huk		hœys	ɪn		ɪs		kʀɛkt					lɒtəʀ	lɛt	kʏmp	lopə		mɑʀ	mɪt	fʀɒu	nə	næt	ni			ɒf		fəskotə		ɔp		plisi		çlɑs	ʀɒmə		fliçəkəpɒt		kʏmp	kai	stɪl	stʀɒt					fɑn		fʀɒçt	fʀɒu		zə	zi
Slochteren	æ	plitsi	ɑz	bɑidnt	ʋɪl	bi	butn	dʊ	dən	da		dʏr	ɒin	n	ə	eifkəs		xərɪŋkəl	xlɑs	xlasɛtər		xʊin	hei			t	hɛi	hɑuk	hɒln	huzn	ɪn	inɑinn	ɪs	jɔŋkjə	nɛt	løɟi	klɪŋkt			lɔtər	kikt	lɒp	loupm		mɒr	mɪt	frɑ	nə	nɛt	nait		nɑu	ɒf		fərɑldərɪt	ɤuk	ɔp	pakŋ	plitsi		xlas	rutn		snøfəln		kɔmt	stɑin	stɪl	strʊt			tit	tɑfɑləx	fan		frɑxt	frɑ		zə	zʏx
Sneek	ɑn	pl̴isi	ɑz	ɑləbɛi	bəslyt	bai	bytn	dɛr	dan	dɑt	də	dʏr	ɪ	ə	dər	eifə	ɛkstra	ɡərɪŋkəl	ɡlɑs	ɡlɑsɛtər	ɡud	ɡʊiə			ɔm	ət	i	hukə	hɑuən	hyzn		ɪninn	ɪs	jɔŋkjə	jyst	klɛin		kɒrtə	kræiə	latər	lɛt	loupt	loupm		mɑr	mɛt	frɒu	nɑ	krɛk	nit		nɑu		ɔm	heiləmɑlɪndəʋɑr	ouk	ɔp	pakən	pl̴isi	mɑkə	ram	rytn	təɡarə		stan		stin	stɪl	strat	stratn	tə	tit	tufɑləx	fan		fraxt	frɒu	ʋʏl	zə	sit
Tegelen	an	pəlisi	ɑs	ɑləbæi	bəslyt	bi	butə	dʊ	dan	dat	də	dʊʀ	ein	ənə	dəʀ	ɛfkəs	ækstʀə	çəʀɪŋkəl	çlæs	çlasætəʀ	çut	çuiə	hei	hil	əm	həd	hɪʀ	hut	hæiə	hyzəʀ	ɛn	ʏbɛns	ɪʃ	jʏŋskə	nɛt	klɛin	klɪŋk	kɒʀtə	kʀiçə	latəʀ	læt	lœp	lʌupə	lɶk	maʀ	mæt	fʀɑu	nə	næt	nɪd	nɯ	nʊu	ɒf	œm	çəʃʀʊkə	ok	ɔp	pɑkə	pəlisi	makə	ʀut	ʀutə	samə	ʃnøfəld		kʏm	ʃtɛin	ʃtɪl	ʃtʀot	ʃtʀɔtə	tə	tit	tufɑləç	fɑn	fyl	fʀøç	fʀɑu	wʏlt	zə	syt
Tienen		çɑʀdə		ɒlətwi	wil		bɑtə			dɑ	də		iən	ən	dəʀ	əbɛcə		lɑwɒt	çlɒs	çlɒəzəmakəʀ	çʏɯt	smɛtə		hil		ət		huk	pɑkə	hɑsə		nənins	ɪs							lʊtəʀ		kɔmt	lɤpə		mɒ	bɛ			ʃyst				ɒf				in		çɑrdə	ʀəpaʀɑiʀə	ʀɑt	ʀɑtə		flʏiçədəstɑʀcəfɑnɪn		kɔm	kɑi	stil					l̴ɑkə	fɑn		fʀʊçt	fʀʌ	wil		set
Tilligte	ɑn	plitsi	ɑt	bɪr	bəslʊt	bi	butn	dʊ	dan	dat	də	dʏr	en	nə	ər	ɛfn	ɛkstrʌ	xərɪŋkəl		xlasɛtər	xʊt	smitn	hei		hɛm	t	he	hok	hɒln	hys	ɪn	ɪnens	ɪs	jʏŋskə	nɛt		klɪŋkt	kɒrtn	kriɡŋ	latər	kɪk	lop	lopm	lʏkt	mar	mɛt	frɒu	nə		nɪx	nʊ	nu	ɒf	œm	ɒndɒn		ɔp	pakŋ	plitsiɑxɛnt	makŋ	rut	rutn	samm	snøfəlt		lœp	stɪ	stɪl	strʌt	strɒtn	tə	tit		fan	fœl	frœx	frɔu	ʋʏl	zə	sœt
Uithuizen	æ	plitsi	təʋɑl	bɑidn	beslyt		butn	də		da		dʏr		n	də		ɛkstra				χɑut	xʊin	hei			t	hai	hɑuk	hɒln		in		ɪs	kɪrəlcə	nɛt	løɟə					kikt	kɔmt			mʌr		frɑu	nə	nɛt	nait		nɑu	ɒf	ɔm		ouk	ɔp	pakŋ	pliʃə	mɒkŋ		rutn		xɒnkəpɒət	stʊn	kɔmt	stɑin	stɪl	strʊt		tə	titsbəstɛk	tufɑləx			fraxt	frɑu	ʋɪl	zə	zɪxt
Vaals		pʊlis	wɛn		ɛntʃæitsɪʃ	bɛi	uʃ			dɑt	dəʀ	dʏʀç	e	ənə		ɛfə	ɛkstʀa			jlɑsəʀ		wɪʀpə		jɑns	əm	ət	hɪʀ	ɛk	fəʀhɑftə	hysəʀ	ɪ	plœtsliç	ɪʃ	jʏŋʃə	jʀat			kʊʀtə	kʀiə	dʌnɒə	pɑst	jet	lofə	fluçd		mɪt	fʀɑu	əʀ	çʀat	nɪt		nu	ɒf	œm	fəʃʀɛkt	ɔç	ɔp	pɑkə	pʊlis		ʀut	ʀutə	tsəzamə	jʏntkɑpɒt		kʏmt	ʃte	ʃtɪl	ʃtʀɔəʃ		tsə	tsit		fan	fœl	fʀʊçt	fʀɑu	wɪlt	zə	sit
Veenwouden	ɒ	pliʃəmɑn	ʌt	bɛidə	bəslyt	bei	butn	da	dan	dɑt	də	trʏx	ɪ	ən	dər	ɛfkəs	ɛkstrə	ɡərɪŋkəl	ɡlæs	ɡlæsɛtər	ɡut	smitə			hɪm	ət	ər	hukə	hɒdn	huzn	ɪn	inɛnn	ɪs	jɔŋkjə	krɛk	lits		kuɑtskɔtʃə	kræiə	lɛtər	lɛt	rɛnt	rɪnn	lʏkt	mɑr	mɛi	frɑu	na	krɛkt	nɛt	nɔ	nɑu			fəsxrɪkt	ɛk	ɔp	pakən	pliʃəmʌn		ryt	rytn		rɛitʃəstɪkən		stɑp	stɪn	stɪl	strɪtə	strɪtn	tə		təfɑləx	fan	fɔlə	freihət	frɑu	ʋɔl	sə	ʃyt
Venray	an	plisi	ɑs	ɑləbæi	bəslyt	bɪi	butə	dʊ	dɑn	dʌt	də	dʏʀ	in	ənə	dəʀ	ifkəs	ɛkstʀa	çəʀɪŋkəl	çlɑs	çlɑsɛtəʀ	çut	smite	hei	hil	əm	ət	hei	tɔŋ	hɑldə	hys	in	ɪnɛns	ɪʃ	jʏŋskə	kʀɛk	klɛin	klɪŋk	kɒʀtən	kʀiçə	latəʀ	lɛt	lɒp	lɯəpə	lʏkt	maʀ	mɪt	fʀɒu	nə	kʀɛk	ni	nɑu	nɑu	ɒf	ʏm	ɔndɔn	ouk	ɔp	pɑkə	plisi	ʀepəʀɪrə	ʀyt	ʀytə	samə	snøfələ		stapt	stɪn	ʃtɪl	ʃtʀɒt	ʃtʀɒtə	tə	tit	stæʀk	fɑn	føl	fʀɒçt	fʀɔməs	wʏlt	sə	zit
Veurne		ɑhænt	ɒt	ɒlətwiə	hɒt	bi	bytn	dɒ	tunə	dɑ	də		ɪ	ə	dər	əbecə		χəriŋkəl	hlɑs	rytəmʌkrə	χut	smitn		stɪf		t	m	uk	pɑkŋ	yzn	ɪn	ɒməkɪr	ɪs	juncə	ʒystə	klɪn	kliŋkt			lɒtərə	læt	lɒpt	lopm		mɒr	mæt	frɔmɛs	nɑ	ʒystə	ni			ɒt		ɛndəkɔlɛrə	ok	ɔp	pɑkŋ	pɒliʃə	fəmɑkŋ	rytə	rytn	təhɒrə	brekŋ			stɪ	stɪlə	strʌtə				apɑst	fan		frʌχt	frɔmɛs	wɛlt	sə	zit
Waubach	ɑ	plis	wɛnt	alətwiə	wʏl	bei	butə	dʊ	dan	dɑt	dəʀ	dʏʀ	i	ənə		çæ	ækstʀa	çəʀiŋkəl	çlas	çlɑzənɪʀ	çut	wæʀpə				əd	hɪʀ	ɛk	hʌudə	husəʀ	ɛn	œpɪns	ɪʃ	jʏŋskə	çʀat		klɪŋk	kɒʀtə		latəʀ	pɑst	lʏp	lopə		mɑ	mət	fʀɒu	na	çʀat	nɪt	nə	nu	ɒf		wɪtfəʃʀɛk	ɤuk	ɪ	pɑkə	plis	mɑkə	ʀut	fɛnstəʀə		çɒnkɑpɒt		kʏmt	ʃte	ʃtɪl	ʃtʀɔt	ʃtʀɔtə		tit		fən		fʀʏç	fʀɒu	wɪlt	sə	sit
Wervershoof		pəlisi	æʃ	ɑlətwɑi	wɪl	bɑi	baytə			da		dʏr	i	ə		ɛfis		xərɪŋkəl	xlas	xlasmɛiə	xɯt	xʊiə				hɛt	i	huk	xrɑipə			ɒpis	ɪs	jɔwɪ	nɛt	klɑin				lɑtər	kɑikt	lʌupt	lʌupə		mʌr	mɛt		næ	nɛt	nit					fərskrɪkt	ouk	ɔp	pakən	pəl̴isi	mɑkə	xlas	rɑmə					stin	stɪl	strɛit				stɛrk	fɑn		frʌxt		wʏl	sə	sit
Westkapelle	ɑn	pəlisi	ʌt	ʊləbæi	bəslyt	be	bytn	dər	dɑn	da	də		e	ə		əstaycə		χərɪŋkəl	χlɒs	χlʌsætər	χut	χʊiə				ət	m	uk	ɑun	yzn		ɪnis	ɪs	juŋəcə	nɛt	klæin	klɪŋk	kɒrtə		lætər	læt	loup	lopə		mɑ	mæt	frɑuə	nɛ	næt	ni	ny	nɯ	ɒf	ɔm		ok	ɔp		pəlizi	mækə	rytə	rytn	sæmə	breikən		stɑpt		stɪlə	strætə		t	tit	tufʌləχ	wɑn		fræχt	frɑuə	wʏl		zit
Workum	ʊ	plisi	ʌz	baidə	beslyt	bai	bytn	də	dɛ	dɑt	də	trʏ	ɪn	ən	dər	ɛfkə	ɛkstra	ɡərɪŋkəl	ɡlɛs	ɡlɛsɛtər	ɡut	ɡʊiə	hei			hət	ər	hukə	hɒdn	hyzn	in	ɪnis	ɪs		krɛkt		klɪŋkt	kɒrtskɔfkə	kræiə	lɛtər	lɛt	rɪnt			mɑr	mai	frɑu	nɛi		nɛt		nau		ɔm	sxrɔkən	ɪk	ɔp	pakŋ	pliʃə	mæitʃən	ryt	rytn		snøfələ		kɔmt	stin	stɪl	strɪtə	strʏtə	tə		tufʌləx	fan		freiɡət	frɑu	ʋɔl		ʃɔxt
Zandvliet	ʊp	æçɪn	ɑlz	bædən	bəslɪst		bœtə	dɑ	dan	da	də	dʊr	ɪ	nə	dəʀ	əmbicə		çəriŋkəl	çlas	çlʌzəmʌkər	çu	çʊiə		ɪl		t	hɛi	huk	pakə	hœzə	ɪn		ɪs	fɛncə	ʃyst	klæin			kræçə	lɑtər	kækt	lɒpt	lopə		mʌʀ	mæt	frau	nɑr	ʃyst	ni	nɑu		ɒf	ɔm		ok	ɔp	pakə	pɒlis	mʌkə	rœt	rœtə	sʌmə	brekə		kɔmt	stin	stɪl	strɑt	strɑtə	tə		tufɑləç	fan	føl	fraçt	frau	wyl	zə	zit
Zevenhuizen		pəlisi	ɑz	bɛidn	ʋɪl	bɛi	butn	dʊ	dan	da	də	dʏr	ein		dər	eibm		dɪɣəln	xlas	xlʊzənzɛdər	xut		he		həm	hɛt	ər	huk	pakŋ	hyzn	in	ɪneins	ɪs	jʌŋkjə	nɛt	klɛinə	klɪŋkt	kɒrtoɡŋblɪkjə		lɔtər	kɪkt	lɒp	lʌupm	lʏkt	mər	mɛt	frɑu	nə		nit			ɒf		fərɑldərɪrt	ɤuk	ɔp	pakŋ	plisi	mɒkŋ	ryt	rytn	sɔmm	xɒnandɪxəls	stɒn	stapt		stɪl	strʊt	strʊtn			tufɑləx	fan		frɑxt	frɑu		sə	sɪxt
Zierikzee		pliʃə	ɑt			bi	bytə		dɑn		də	dʏr	ɪ	ən			ækstra	χərɪŋkəl	χlɑs	χlʌsætər	χut					ət	m	uk		yzn	ɪn		ɪs		nɛt	klain		kɒrtə	kriχən		læt	lɒpt		lœkt	mʌr	mæt	frɑuə	nɛ		ni		nu	ɒf		ɔndah		ɔp	pɑkə	plisi	mækə	rytə	rytn	sæmə	snøfələ		stʌp	kai	stɪl				tit	tufɑləχ	fɑn		fræχt	frɑuə		zə	sit
Zwinderen	ɑn			bɛidə			butn	dʌ	dɑn	dɐt	də	dʏr		n				xərɪŋkəl	xlas			xʊin				hɛt	i	huk	hɒln		ɪn	œpis	ɪs	fɛnti	nɛt								lopm		ma	be	frʌuə	hɛn	nɛt					œm		ɤuk	ɔp		plitsi			rutn		xʌtkəpʌt	stɒn	kɔmd	stin	stɪl	strʌt		tə		tufɑləx				frʌə	ʋʏl		zœt